id	ticker	snapshot_date	payload_bytes	payload_sha256
96	QQQ	2025-12-25	255	b5bafa20074e1f602ad7437076bdd9fb48e2ae008051e76a8cf59f96b2007780
97	QTWO	2025-12-25	6079	ecd7296f9544f26adb3f408b6f95760aa24be6929fa04e1714e40084b10b4cad
98	RBLX	2025-12-25	6057	59e6119cf2caf8da19bb7a78cfef09d09e38a407e501f6423c2bc28b75467886
99	RCL	2025-12-25	6059	5aff721ba68d77fc031e009db2ff4260a41b129a0150f0466ad1e68a21a1275e
100	REGN	2025-12-25	6077	72cf653219f3535b52c4a6e25d3c39960e8b550d34fd5dece02d223e8ee46d7b
101	RIVN	2025-12-25	6086	44e46418ac53267a3c19bf36b1fcb4a21e90d7fdc793acfe211d3893edd46da2
102	RKLB	2025-12-25	1630	5e4c086a9fd1757161a3c1ad4021df6f0eb4b6e4a73095792a093d2b044da0f9
103	SFM	2025-12-25	6121	272d4a00a775d08337f47613a25d217f94bfc5f47c2dc1774abfcd719b8bb192
104	SKYW	2025-12-25	6066	5920716d9357af8aab830842064473fe4d7e4b8eb97cce133d7c753dbcb6a294
105	SMCI	2025-12-25	1628	d585cac723b644bb2d898e0cb01403745cdfd20df4b002e96b2579ed2ff4c1c9
106	SNAP	2025-12-25	6123	1ea03147a5859d25f4c90d3732406f651d48cd98591dac329354b4a515eef363
107	SNOW	2025-12-25	6089	368031d6239a4061e854f92ede4bbada1eebee5afecfc3e61759d49c2b10fc09
108	SPOT	2025-12-25	6047	f41de91240f1106e9fa239868359a0a5b94c0073d4ed77158dc2f7c3b5cb9a31
109	SPY	2025-12-25	255	b3c02e1daf4defcf88c79e7abfe871d7910d4ac3f9ca1f44f50da211e8fe5ada
110	SQ	2025-12-25	254	4f515aab11d8c071ba2b2063d29d6ef1455b6f1f07479da5034c2a6ddc4b3631
111	SSRM	2025-12-25	6198	caa9563c6cd3a2064bec1c1b588b52ce688d9e8472259114df2d6243c0745c79
112	STRL	2025-12-25	6079	74962af2e528e96afa082960af08c8d003cb5258becd7ac99544f9f9948e4724
113	SYF	2025-12-25	6142	3d12e75bff1dac7a6fb6b8d5ea98809307ee6085557ebb0f1d036557f97f12fe
114	TMUS	2025-12-25	6076	a50cbdf7881ee62d264a217614112f347c0504251d7ccdefef8fbfaff0d9de60
115	TSLA	2025-12-25	6077	02422600ac022ffce48882cd9353ecbc8a920fd7bca2527767dc4f09ab688c52
116	TSM	2025-12-25	6140	111e6b331ad25d3ad226268d27db5ef3bd950eb720363380d64f34b1b238642f
117	TTMI	2025-12-25	6142	66b46c18a5ad703270a33c5c075c14aad93ac85867e382754ecb3693cbb5adfd
118	TTWO	2025-12-25	6073	bc84de2f2e2dbc30822ca975fdb82b4e8bc7b8a9c69b4f38fcf17033dda7f467
119	TWLO	2025-12-25	6059	02597b18e844aa4129e507013c856e8c6589dbf2ab16ddd50ae5f5228960dda0
120	TXN	2025-12-25	6132	7c9405ff447beaa5a826192d84a55946e6a8dd5e54869a70a34cce311925354e
121	UBER	2025-12-25	6083	8216452595bff05e1252c45a2d62f959dbe2d9eb107b75285dcca4c608fb9666
122	UNFI	2025-12-25	6167	9e93dee023631f36bda02e13ffded7d02575c4b97e879b712ad89dfe59156354
123	UNH	2025-12-25	6143	6277cb55e94f81c9b6c222c22cb5fdb37c2c0cfd072fc8bc41a7734056104feb
124	V	2025-12-25	6129	c2dcd6d5a8def479ad1465029baed490adc0a35070e1db95534c523f0ef5b723
125	WFC	2025-12-25	6118	4f6cc613865138451931d75894a9e6b1ab99984d017826e98f67f71c7d4fd31b
126	WLDN	2025-12-25	6197	23d2400b307567aa4d5bbfc14ca8cb6282bf15f2a2d296327caaa2173c0b603b
127	W	2025-12-25	6097	8516393768d0d972f2ddb1cac91319f787cb93e81a5fe68d2f8c72853a47a0d6
128	ZETA	2025-12-25	6333	b0eb11ea0444b3c57019c6bb36a5cfe8a4a51f28b17661cd9435e927a126c19e
129	ZM	2025-12-25	6065	88842c191186139f12ba71afcdff1e7dce153a5659e1dc706eb573d56edd1100
130	ZS	2025-12-25	6052	f1f855980d7f63ab03c74d7865e8c7095f6af1dc642a1afa55a514446d8fbac7
