consumer_id	entrypoint_id	consumer_kind	path	line	symbol	evidence
consumer:documented_command:README.md:58:1:command:python -m src.daily_update	src/daily_update.py::python_script::src/daily_update.py	documented_invocation	README.md	58	python -m src.daily_update	documented_command:README.md:58:1:command:python -m src.daily_update
consumer:documented_command:README.md:61:1:command:python -m src.agents	src/agents/__main__.py::python_module::src.agents	documented_invocation	README.md	61	python -m src.agents	documented_command:README.md:61:1:command:python -m src.agents
consumer:documented_command:README.md:72:1:command:bash extensions/sa_alpha_picks/install.sh	extensions/sa_alpha_picks/install.sh::shell_script::extensions/sa_alpha_picks/install.sh	documented_invocation	README.md	72	bash extensions/sa_alpha_picks/install.sh	documented_command:README.md:72:1:command:bash extensions/sa_alpha_picks/install.sh
consumer:documented_command:README.md:73:1:command:bash extensions/sa_alpha_picks/install_firefox.sh	extensions/sa_alpha_picks/install_firefox.sh::shell_script::extensions/sa_alpha_picks/install_firefox.sh	documented_invocation	README.md	73	bash extensions/sa_alpha_picks/install_firefox.sh	documented_command:README.md:73:1:command:bash extensions/sa_alpha_picks/install_firefox.sh
consumer:documented_command:data_sources/IBKR_GUIDE.md:50:1:command:./ibgateway-stable-standalone-linux-x64.sh	data_sources/IBKR_GUIDE.md::documented_command::./ibgateway-stable-standalone-linux-x64.sh	documented_invocation	data_sources/IBKR_GUIDE.md	50	./ibgateway-stable-standalone-linux-x64.sh	documented_command:data_sources/IBKR_GUIDE.md:50:1:command:./ibgateway-stable-standalone-linux-x64.sh
consumer:documented_command:data_sources/PAID_SUBSCRIPTION_EVALUATION.md:1502:1:command:python scripts/collection/collect_ibkr_fundamentals.py	data_sources/PAID_SUBSCRIPTION_EVALUATION.md::documented_command::python scripts/collection/collect_ibkr_fundamentals.py	documented_invocation	data_sources/PAID_SUBSCRIPTION_EVALUATION.md	1502	python scripts/collection/collect_ibkr_fundamentals.py	documented_command:data_sources/PAID_SUBSCRIPTION_EVALUATION.md:1502:1:command:python scripts/collection/collect_ibkr_fundamentals.py
consumer:documented_command:data_sources/PAID_SUBSCRIPTION_EVALUATION.md:1504:1:command:python scripts/collection/collect_ibkr_fundamentals.py	data_sources/PAID_SUBSCRIPTION_EVALUATION.md::documented_command::python scripts/collection/collect_ibkr_fundamentals.py	documented_invocation	data_sources/PAID_SUBSCRIPTION_EVALUATION.md	1504	python scripts/collection/collect_ibkr_fundamentals.py	documented_command:data_sources/PAID_SUBSCRIPTION_EVALUATION.md:1504:1:command:python scripts/collection/collect_ibkr_fundamentals.py
consumer:documented_command:docs/data/NEWS_DATA_INVENTORY.md:384:1:command:python score_sentiment_anthropic.py	docs/data/NEWS_DATA_INVENTORY.md::documented_command::python score_sentiment_anthropic.py	documented_invocation	docs/data/NEWS_DATA_INVENTORY.md	384	python score_sentiment_anthropic.py	documented_command:docs/data/NEWS_DATA_INVENTORY.md:384:1:command:python score_sentiment_anthropic.py
consumer:documented_command:docs/data/NEWS_DATA_INVENTORY.md:391:1:command:python score_risk_anthropic.py	docs/data/NEWS_DATA_INVENTORY.md::documented_command::python score_risk_anthropic.py	documented_invocation	docs/data/NEWS_DATA_INVENTORY.md	391	python score_risk_anthropic.py	documented_command:docs/data/NEWS_DATA_INVENTORY.md:391:1:command:python score_risk_anthropic.py
consumer:documented_command:docs/data/NEWS_DATA_INVENTORY.md:409:1:command:python score_sentiment_anthropic.py	docs/data/NEWS_DATA_INVENTORY.md::documented_command::python score_sentiment_anthropic.py	documented_invocation	docs/data/NEWS_DATA_INVENTORY.md	409	python score_sentiment_anthropic.py	documented_command:docs/data/NEWS_DATA_INVENTORY.md:409:1:command:python score_sentiment_anthropic.py
